code,name,market,sector_code,sector_name,sector_index_code
000020,동화약품,KOSPI,제약,제약,KOSPI:제약
000040,KR모터스,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
000050,경방,KOSPI,유통,유통,KOSPI:유통
000070,삼양홀딩스,KOSPI,금융,금융,KOSPI:금융
000080,하이트진로,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
000087,하이트진로2우B,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),KOSPI,unknown,unknown,KOSPI:unknown
0000H0,KODEX 인도Nifty미드캡100,KOSPI,unknown,unknown,KOSPI:unknown
0000J0,PLUS 한화그룹주,KOSPI,unknown,unknown,KOSPI:unknown
0000Y0,HK 26-12 회사채(AA-이상)액티브,KOSPI,unknown,unknown,KOSPI:unknown
0000Z0,RISE 바이오TOP10액티브,KOSPI,unknown,unknown,KOSPI:unknown
000100,유한양행,KOSPI,제약,제약,KOSPI:제약
000105,유한양행우,KOSPI,제약,제약,KOSPI:제약
000120,CJ대한통운,KOSPI,운송창고,운송/창고,KOSPI:운송창고
000140,하이트진로홀딩스,KOSPI,금융,금융,KOSPI:금융
000145,하이트진로홀딩스우,KOSPI,금융,금융,KOSPI:금융
000150,두산,KOSPI,전기전자,전기/전자,KOSPI:전기전자
000155,두산우,KOSPI,전기전자,전기/전자,KOSPI:전기전자
000157,두산2우B,KOSPI,전기전자,전기/전자,KOSPI:전기전자
000180,성창기업지주,KOSPI,일반서비스,일반서비스,KOSPI:일반서비스
0001P0,마이티 바이오시밀러&CDMO액티브,KOSPI,unknown,unknown,KOSPI:unknown
000210,DL,KOSPI,화학,화학,KOSPI:화학
000215,DL우,KOSPI,화학,화학,KOSPI:화학
000220,유유제약,KOSPI,제약,제약,KOSPI:제약
000225,유유제약1우,KOSPI,제약,제약,KOSPI:제약
000227,유유제약2우B,KOSPI,제약,제약,KOSPI:제약
000230,일동홀딩스,KOSPI,제약,제약,KOSPI:제약
000240,한국앤컴퍼니,KOSPI,금융,금융,KOSPI:금융
000270,기아,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
0002C0,에셋플러스 인도일등기업포커스20액티브,KOSPI,unknown,unknown,KOSPI:unknown
000300,DH오토넥스,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
000320,노루홀딩스,KOSPI,금융,금융,KOSPI:금융
000325,노루홀딩스우,KOSPI,금융,금융,KOSPI:금융
000370,한화손해보험,KOSPI,보험,보험,KOSPI:보험
000390,SP삼화,KOSPI,화학,화학,KOSPI:화학
000400,롯데손해보험,KOSPI,보험,보험,KOSPI:보험
000430,대원강업,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
000480,CR홀딩스,KOSPI,비금속,비금속,KOSPI:비금속
000490,대동,KOSPI,기계장비,기계/장비,KOSPI:기계장비
0004G0,1Q 미국배당TOP30,KOSPI,unknown,unknown,KOSPI:unknown
000500,가온전선,KOSPI,전기전자,전기/전자,KOSPI:전기전자
000520,삼일제약,KOSPI,제약,제약,KOSPI:제약
000540,흥국화재,KOSPI,보험,보험,KOSPI:보험
000545,흥국화재우,KOSPI,보험,보험,KOSPI:보험
000590,CS홀딩스,KOSPI,금융,금융,KOSPI:금융
0005A0,KODEX 미국S&P500데일리커버드콜OTM,KOSPI,unknown,unknown,KOSPI:unknown
0005C0,RISE 미국S&P500엔화노출(합성 H),KOSPI,unknown,unknown,KOSPI:unknown
0005D0,SOL 전고체배터리&실리콘음극재,KOSPI,unknown,unknown,KOSPI:unknown
0005G0,IBK K-AI반도체코어테크,KOSPI,unknown,unknown,KOSPI:unknown
000640,동아쏘시오홀딩스,KOSPI,금융,금융,KOSPI:금융
000650,천일고속,KOSPI,운송창고,운송/창고,KOSPI:운송창고
000660,SK하이닉스,KOSPI,전기전자,전기/전자,KOSPI:전기전자
000670,영풍,KOSPI,금속,금속,KOSPI:금속
000680,LS네트웍스,KOSPI,유통,유통,KOSPI:유통
000700,유수홀딩스,KOSPI,일반서비스,일반서비스,KOSPI:일반서비스
000720,현대건설,KOSPI,건설,건설,KOSPI:건설
000725,현대건설우,KOSPI,건설,건설,KOSPI:건설
000760,이화산업,KOSPI,유통,유통,KOSPI:유통
0007F0,KODEX 27-12 회사채(AA-이상)액티브,KOSPI,unknown,unknown,KOSPI:unknown
0007G0,PLUS 글로벌원자력밸류체인,KOSPI,unknown,unknown,KOSPI:unknown
0007N0,아이엠에셋 200,KOSPI,unknown,unknown,KOSPI:unknown
000810,삼성화재,KOSPI,보험,보험,KOSPI:보험
000815,삼성화재우,KOSPI,보험,보험,KOSPI:보험
000850,화천기공,KOSPI,기계장비,기계/장비,KOSPI:기계장비
000860,강남제비스코,KOSPI,화학,화학,KOSPI:화학
000880,한화,KOSPI,화학,화학,KOSPI:화학
00088K,한화3우B,KOSPI,화학,화학,KOSPI:화학
000890,보해양조,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
0008E0,ACE 미국중심중소형제조업,KOSPI,unknown,unknown,KOSPI:unknown
0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,KOSPI,unknown,unknown,KOSPI:unknown
0008T0,SOL 화장품TOP3플러스,KOSPI,unknown,unknown,KOSPI:unknown
000910,유니온,KOSPI,비금속,비금속,KOSPI:비금속
000950,전방,KOSPI,섬유의류,섬유/의류,KOSPI:섬유의류
000970,한국주철관,KOSPI,금속,금속,KOSPI:금속
000990,DB하이텍,KOSPI,전기전자,전기/전자,KOSPI:전기전자
001020,페이퍼코리아,KOSPI,종이목재,종이/목재,KOSPI:종이목재
001040,CJ,KOSPI,금융,금융,KOSPI:금융
001045,CJ우,KOSPI,금융,금융,KOSPI:금융
00104K,CJ4우(전환),KOSPI,금융,금융,KOSPI:금융
001060,JW중외제약,KOSPI,제약,제약,KOSPI:제약
001065,JW중외제약우,KOSPI,제약,제약,KOSPI:제약
001067,JW중외제약2우B,KOSPI,제약,제약,KOSPI:제약
001070,대한방직,KOSPI,섬유의류,섬유/의류,KOSPI:섬유의류
001080,만호제강,KOSPI,금속,금속,KOSPI:금속
001120,LX인터내셔널,KOSPI,유통,유통,KOSPI:유통
001130,대한제분,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
001200,유진투자증권,KOSPI,증권,증권,KOSPI:증권
001210,금호전기,KOSPI,전기전자,전기/전자,KOSPI:전기전자
001230,동국홀딩스,KOSPI,금융,금융,KOSPI:금융
001250,GS글로벌,KOSPI,유통,유통,KOSPI:유통
001260,남광토건,KOSPI,건설,건설,KOSPI:건설
001270,부국증권,KOSPI,증권,증권,KOSPI:증권
001275,부국증권우,KOSPI,증권,증권,KOSPI:증권
001290,상상인증권,KOSPI,증권,증권,KOSPI:증권
001340,PKC,KOSPI,화학,화학,KOSPI:화학
001360,삼성제약,KOSPI,제약,제약,KOSPI:제약
001380,SG글로벌,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
001390,KG케미칼,KOSPI,화학,화학,KOSPI:화학
0013P0,RISE 미국은행TOP10,KOSPI,unknown,unknown,KOSPI:unknown
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),KOSPI,unknown,unknown,KOSPI:unknown
001420,태원물산,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
001430,세아베스틸지주,KOSPI,금속,금속,KOSPI:금속
001440,대한전선,KOSPI,전기전자,전기/전자,KOSPI:전기전자
001450,현대해상,KOSPI,보험,보험,KOSPI:보험
001460,BYC,KOSPI,섬유의류,섬유/의류,KOSPI:섬유의류
001465,BYC우,KOSPI,섬유의류,섬유/의류,KOSPI:섬유의류
001470,삼부토건,KOSPI,건설,건설,KOSPI:건설
001500,현대차증권,KOSPI,증권,증권,KOSPI:증권
001510,SK증권,KOSPI,증권,증권,KOSPI:증권
001515,SK증권우,KOSPI,증권,증권,KOSPI:증권
001520,동양,KOSPI,비금속,비금속,KOSPI:비금속
001525,동양우,KOSPI,비금속,비금속,KOSPI:비금속
001527,동양2우B,KOSPI,비금속,비금속,KOSPI:비금속
001530,DI동일,KOSPI,유통,유통,KOSPI:유통
001550,조비,KOSPI,화학,화학,KOSPI:화학
001560,제일연마,KOSPI,비금속,비금속,KOSPI:비금속
001570,금양,KOSPI,화학,화학,KOSPI:화학
0015B0,KoAct 미국나스닥성장기업액티브,KOSPI,unknown,unknown,KOSPI:unknown
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),KOSPI,unknown,unknown,KOSPI:unknown
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),KOSPI,unknown,unknown,KOSPI:unknown
0015K0,TIGER 미국소비트렌드액티브,KOSPI,unknown,unknown,KOSPI:unknown
001620,케이비아이동국실업,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
001630,종근당홀딩스,KOSPI,제약,제약,KOSPI:제약
001680,대상,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
001685,대상우,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
0016X0,SOL 중단기회사채(A-이상)액티브,KOSPI,unknown,unknown,KOSPI:unknown
001720,신영증권,KOSPI,증권,증권,KOSPI:증권
001740,SK네트웍스,KOSPI,유통,유통,KOSPI:유통
001750,한양증권,KOSPI,증권,증권,KOSPI:증권
001755,한양증권우,KOSPI,증권,증권,KOSPI:증권
001770,SHD,KOSPI,금속,금속,KOSPI:금속
001780,알루코,KOSPI,금속,금속,KOSPI:금속
001790,대한제당,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
001795,대한제당우,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
0017Y0,1Q 종합채권(AA-이상)액티브,KOSPI,unknown,unknown,KOSPI:unknown
001800,오리온홀딩스,KOSPI,금융,금융,KOSPI:금융
001820,삼화콘덴서,KOSPI,전기전자,전기/전자,KOSPI:전기전자
0018C0,PLUS 고배당주위클리고정커버드콜,KOSPI,unknown,unknown,KOSPI:unknown
0018Z0,RISE 미국양자컴퓨팅,KOSPI,unknown,unknown,KOSPI:unknown
001940,KISCO홀딩스,KOSPI,금속,금속,KOSPI:금속
0019K0,TIME 미국나스닥100채권혼합50액티브,KOSPI,unknown,unknown,KOSPI:unknown
002020,코오롱,KOSPI,금융,금융,KOSPI:금융
002025,코오롱우,KOSPI,금융,금융,KOSPI:금융
002030,아세아,KOSPI,일반서비스,일반서비스,KOSPI:일반서비스
002070,비비안,KOSPI,섬유의류,섬유/의류,KOSPI:섬유의류
0020H0,KoAct 글로벌양자컴퓨팅액티브,KOSPI,unknown,unknown,KOSPI:unknown
002100,경농,KOSPI,화학,화학,KOSPI:화학
002140,고려산업,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
002150,도화엔지니어링,KOSPI,일반서비스,일반서비스,KOSPI:일반서비스
002170,SYTS,KOSPI,섬유의류,섬유/의류,KOSPI:섬유의류
0021C0,ACE TDF장기자산배분액티브,KOSPI,unknown,unknown,KOSPI:unknown
0021D0,ACE TDF2030액티브 적격,KOSPI,unknown,unknown,KOSPI:unknown
0021E0,ACE TDF2050액티브 적격,KOSPI,unknown,unknown,KOSPI:unknown
002200,한국수출포장,KOSPI,종이목재,종이/목재,KOSPI:종이목재
002210,동성제약,KOSPI,제약,제약,KOSPI:제약
002220,한일철강,KOSPI,금속,금속,KOSPI:금속
002240,고려제강,KOSPI,금속,금속,KOSPI:금속
0022T0,SOL 국제금커버드콜액티브,KOSPI,unknown,unknown,KOSPI:unknown
002310,아세아제지,KOSPI,종이목재,종이/목재,KOSPI:종이목재
002320,한진,KOSPI,운송창고,운송/창고,KOSPI:운송창고
002350,넥센타이어,KOSPI,화학,화학,KOSPI:화학
002355,넥센타이어1우B,KOSPI,화학,화학,KOSPI:화학
002360,SH에너지화학,KOSPI,화학,화학,KOSPI:화학
002380,KCC,KOSPI,화학,화학,KOSPI:화학
002390,한독,KOSPI,제약,제약,KOSPI:제약
0023A0,SOL 미국양자컴퓨팅TOP10,KOSPI,unknown,unknown,KOSPI:unknown
0023B0,PLUS 미국양자컴퓨팅TOP10,KOSPI,unknown,unknown,KOSPI:unknown
002410,범양건영,KOSPI,건설,건설,KOSPI:건설
002420,세기상사,KOSPI,유통,유통,KOSPI:유통
002450,삼익악기,KOSPI,제조,제조,KOSPI:제조
002460,HS화성,KOSPI,건설,건설,KOSPI:건설
0025N0,TIGER TDF2045 적격,KOSPI,unknown,unknown,KOSPI:unknown
002600,조흥,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
002620,제일파마홀딩스,KOSPI,일반서비스,일반서비스,KOSPI:일반서비스
002630,오리엔트바이오,KOSPI,제약,제약,KOSPI:제약
002690,동일제강,KOSPI,금속,금속,KOSPI:금속
0026E0,KODEX 미국S&P500버퍼3월액티브,KOSPI,unknown,unknown,KOSPI:unknown
0026S0,1Q 미국S&P500,KOSPI,unknown,unknown,KOSPI:unknown
002700,신일전자,KOSPI,유통,유통,KOSPI:유통
002710,TCC스틸,KOSPI,금속,금속,KOSPI:금속
002720,국제약품,KOSPI,제약,제약,KOSPI:제약
002760,보락,KOSPI,화학,화학,KOSPI:화학
002780,진흥기업,KOSPI,건설,건설,KOSPI:건설
002785,진흥기업우B,KOSPI,건설,건설,KOSPI:건설
002787,진흥기업2우B,KOSPI,건설,건설,KOSPI:건설
002790,아모레퍼시픽홀딩스,KOSPI,화학,화학,KOSPI:화학
002795,아모레퍼시픽홀딩스우,KOSPI,화학,화학,KOSPI:화학
00279K,아모레퍼시픽홀딩스3우C,KOSPI,화학,화학,KOSPI:화학
002810,삼영무역,KOSPI,유통,유통,KOSPI:유통
002820,SUN&L,KOSPI,화학,화학,KOSPI:화학
002840,미원상사,KOSPI,화학,화학,KOSPI:화학
002870,신풍,KOSPI,유통,유통,KOSPI:유통
002880,디와이에이,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
0028X0,KODEX 미국금융테크액티브,KOSPI,unknown,unknown,KOSPI:unknown
002900,TYM,KOSPI,기계장비,기계/장비,KOSPI:기계장비
002920,유성기업,KOSPI,운송장비부품,운송장비/부품,KOSPI:운송장비부품
002960,한국쉘석유,KOSPI,화학,화학,KOSPI:화학
002990,금호건설,KOSPI,건설,건설,KOSPI:건설
002995,금호건설우,KOSPI,건설,건설,KOSPI:건설
003000,부광약품,KOSPI,제약,제약,KOSPI:제약
003010,혜인,KOSPI,유통,유통,KOSPI:유통
003030,세아제강지주,KOSPI,금융,금융,KOSPI:금융
003060,에이프로젠바이오로직스,KOSPI,제약,제약,KOSPI:제약
003070,코오롱글로벌,KOSPI,건설,건설,KOSPI:건설
003075,코오롱글로벌우,KOSPI,건설,건설,KOSPI:건설
003080,SB성보,KOSPI,화학,화학,KOSPI:화학
003090,대웅,KOSPI,제약,제약,KOSPI:제약
0030R0,대신밸류리츠,KOSPI,unknown,unknown,KOSPI:unknown
003120,일성아이에스,KOSPI,제약,제약,KOSPI:제약
003160,디아이,KOSPI,의료정밀기기,의료/정밀기기,KOSPI:의료정밀기기
003200,일신방직,KOSPI,섬유의류,섬유/의류,KOSPI:섬유의류
003220,대원제약,KOSPI,제약,제약,KOSPI:제약
003230,삼양식품,KOSPI,음식료담배,음식료/담배,KOSPI:음식료담배
003240,태광산업,KOSPI,화학,화학,KOSPI:화학
003280,흥아해운,KOSPI,운송창고,운송/창고,KOSPI:운송창고
003300,한일홀딩스,KOSPI,비금속,비금속,KOSPI:비금속
003350,한국화장품제조,KOSPI,화학,화학,KOSPI:화학
003460,유화증권,KOSPI,증권,증권,KOSPI:증권
003465,유화증권우,KOSPI,증권,증권,KOSPI:증권
003470,유안타증권,KOSPI,증권,증권,KOSPI:증권
