theme_name,code,role
2차전지_소재(양극화물질등),004000,leader
2차전지_소재(양극화물질등),009830,member
2차전지_소재(양극화물질등),078930,member
2차전지_소재(양극화물질등),005420,member
2차전지_소재(양극화물질등),005070,member
2차전지_소재(양극화물질등),066970,member
2차전지_소재(양극화물질등),102710,member
2차전지_소재(양극화물질등),036830,member
2차전지_소재(양극화물질등),161000,member
2차전지_소재(양극화물질등),093370,member
2차전지_소재(양극화물질등),047310,member
2차전지_소재(양극화물질등),054210,member
2차전지_소재(양극화물질등),131100,member
2차전지_소재(양극화물질등),091580,member
2차전지_완제품,051910,leader
2차전지_완제품,006400,member
2차전지_완제품,096770,member
AMOLED_소재,077360,leader
AMOLED_소재,159910,member
AMOLED_소재,104830,member
AMOLED_소재,121600,member
AMOLED_장비,056190,leader
AMOLED_장비,054620,member
AMOLED_장비,030530,member
AMOLED_장비,079950,member
AMOLED_장비,083930,member
AMOLED_장비,040910,member
AMOLED_장비,141000,member
AMOLED_장비,036930,member
Cheap-Chic_저가실용품,002790,leader
Cheap-Chic_저가실용품,078520,member
Cheap-Chic_저가실용품,161890,member
Cheap-Chic_저가실용품,044820,member
Cheap-Chic_저가실용품,026040,member
FPCB(연성회로기판),090460,leader
FPCB(연성회로기판),131400,member
FPCB(연성회로기판),051370,member
FPCB(연성회로기판),088390,member
FPCB(연성회로기판),085670,member
LCD_부품,095500,leader
LCD_부품,056700,member
LCD_부품,073110,member
LCD_부품,108320,member
LCD_부품,041520,member
LCD_부품,027580,member
LCD_부품,121850,member
LCD_부품,004710,member
LCD_소재,033640,leader
LCD_소재,005290,member
LCD_소재,102710,member
LCD_소재,036830,member
LCD_장비,083930,leader
LCD_장비,056190,member
LCD_장비,030530,member
LCD_장비,036930,member
LCD_장비,009310,member
LCD_장비,029460,member
LCD_장비,065130,member
LCD_장비,108230,member
LCD_장비,054620,member
LCD_장비,079950,member
LED,011070,leader
LED,001210,member
LED,038060,member
LED,082800,member
LED,046890,member
LED,082850,member
LED,020760,member
LED,004710,member
LED,153490,member
LPG(액화석유가스),018670,leader
LPG(액화석유가스),017940,member
PCB(인쇄회로기판),085670,leader
PCB(인쇄회로기판),008060,member
PCB(인쇄회로기판),066900,member
PCB(인쇄회로기판),090460,member
PCB(인쇄회로기판),009150,member
PCB(인쇄회로기판),036710,member
PCB(인쇄회로기판),015260,member
PCB(인쇄회로기판),088390,member
PCB(인쇄회로기판),007660,member
PCB(인쇄회로기판),051370,member
PCB(인쇄회로기판),007810,member
PCB(인쇄회로기판),092300,member
PCB(인쇄회로기판),011070,member
SI(시스템통합),034730,leader
SI(시스템통합),023590,member
SI(시스템통합),022100,member
SI(시스템통합),012030,member
SI(시스템통합),035510,member
SI(시스템통합),094280,member
SI(시스템통합),010280,member
SI(시스템통합),012510,member
SNS(Social Network Service),035420,leader
SNS(Social Network Service),035720,member
SNS(Social Network Service),112040,member
U-헬스케어,032850,leader
U-헬스케어,115480,member
U-헬스케어,032620,member
U-헬스케어,071200,member
U-헬스케어,054950,member
가구,009240,leader
가구,079430,member
가구,016800,member
강관,003030,leader
강관,005010,member
강관,008970,member
강관,071090,member
강관,014280,member
강관,009730,member
거푸집,014280,leader
거푸집,018310,member
건강식품,049960,leader
건강식품,001680,member
건강식품,065170,member
건강식품,008490,member
건설_국내주택,012630,leader
건설_국내주택,047040,member
건설_국내주택,014790,member
건설_국내주택,013580,member
건설_해외건설,028050,leader
건설_해외건설,000720,member
건설_해외건설,006360,member
건설_해외건설,000210,member
건설_해외건설,047040,member
게임_모바일,063080,leader
게임_모바일,078340,member
게임_모바일,035420,member
게임_모바일,035720,member
게임_모바일,095660,member
게임_모바일,067000,member
게임_모바일,067160,member
게임_모바일,112040,member
게임_온라인,036570,leader
게임_온라인,095660,member
게임_온라인,112040,member
게임_온라인,067000,member
게임_온라인,069080,member
게임_온라인,030350,member
게임_온라인,047080,member
게임_온라인,058630,member
게임_온라인,101730,member
게임_온라인,023770,member
게임_온라인,052770,member
게임_온라인,050120,member
게임_온라인,035620,member
게임_온라인,066910,member
게임_온라인,047560,member
곡물가공품_설탕/밀가루/유지,097950,leader
곡물가공품_설탕/밀가루/유지,001790,member
곡물가공품_설탕/밀가루/유지,145990,member
곡물가공품_설탕/밀가루/유지,001130,member
곡물가공품_설탕/밀가루/유지,008040,member
곡물가공품_설탕/밀가루/유지,002680,member
교육,019680,leader
교육,095720,member
교육,072870,member
교육,067280,member
교육,057030,member
교육,096240,member
교육,040420,member
교육,035290,member
교육,053290,member
교육,100220,member
교육,068290,member
교육,036000,member
교육,020710,member
