policy,symbol,symbol_name,raw_symbols,candidate_ids,condition_name,candidate_role,join_key,join_status,would_buy,baseline_allowed,best_timestamp,last_evaluated_at,capture_price,current_price,pullback_pct,return_pct,trade_strength,volume_ratio,spread_rate,is_above_vwap,one_min_reversal,upper_wick_ratio,time_policy_reason_code,block_reason,missing_momentum_reason
pullback_0p5,000240,한국앤컴퍼니,000240,5bccc5c2a88e4bb4bb26a8118c473e08,단테떡상이;단테떡상이_수정,analysis_only,5bccc5c2a88e4bb4bb26a8118c473e08,candidate_id,False,False,,,25050,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,registered_but_no_momentum_event
pullback_0p8,000240,한국앤컴퍼니,000240,5bccc5c2a88e4bb4bb26a8118c473e08,단테떡상이;단테떡상이_수정,analysis_only,5bccc5c2a88e4bb4bb26a8118c473e08,candidate_id,False,False,,,25050,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,registered_but_no_momentum_event
pullback_1p0,000240,한국앤컴퍼니,000240,5bccc5c2a88e4bb4bb26a8118c473e08,단테떡상이;단테떡상이_수정,analysis_only,5bccc5c2a88e4bb4bb26a8118c473e08,candidate_id,False,False,,,25050,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,registered_but_no_momentum_event
pullback_1p5,000240,한국앤컴퍼니,000240,5bccc5c2a88e4bb4bb26a8118c473e08,단테떡상이;단테떡상이_수정,analysis_only,5bccc5c2a88e4bb4bb26a8118c473e08,candidate_id,False,False,,,25050,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,registered_but_no_momentum_event
breakout_small,000240,한국앤컴퍼니,000240,5bccc5c2a88e4bb4bb26a8118c473e08,단테떡상이;단테떡상이_수정,analysis_only,5bccc5c2a88e4bb4bb26a8118c473e08,candidate_id,False,False,,,25050,,0.0,,0.0,0.0,0.0,,,0.0,,missing_momentum_log,registered_but_no_momentum_event
pullback_0p5,000270,기아,000270,1d81c23ba4364f7192f78351e9cd71b3,단테떡상이_수정,trading,1d81c23ba4364f7192f78351e9cd71b3,candidate_id,False,False,2026-05-15 09:30:42,2026-05-15 09:30:42,178200,181400,-0.017957351290684626,0.017957351290684542,103.59,0.29576723869444715,0.0005512679162072767,True,True,0.15384615384615385,ALLOW_ENTRY,volume_ratio_lt_1p2,
pullback_0p8,000270,기아,000270,1d81c23ba4364f7192f78351e9cd71b3,단테떡상이_수정,trading,1d81c23ba4364f7192f78351e9cd71b3,candidate_id,False,False,2026-05-15 09:30:42,2026-05-15 09:30:42,178200,181400,-0.017957351290684626,0.017957351290684542,103.59,0.29576723869444715,0.0005512679162072767,True,True,0.15384615384615385,ALLOW_ENTRY,volume_ratio_lt_1p2,
pullback_1p0,000270,기아,000270,1d81c23ba4364f7192f78351e9cd71b3,단테떡상이_수정,trading,1d81c23ba4364f7192f78351e9cd71b3,candidate_id,False,False,2026-05-15 09:30:42,2026-05-15 09:30:42,178200,181400,-0.017957351290684626,0.017957351290684542,103.59,0.29576723869444715,0.0005512679162072767,True,True,0.15384615384615385,ALLOW_ENTRY,volume_ratio_lt_1p2,
pullback_1p5,000270,기아,000270,1d81c23ba4364f7192f78351e9cd71b3,단테떡상이_수정,trading,1d81c23ba4364f7192f78351e9cd71b3,candidate_id,False,False,2026-05-15 09:30:42,2026-05-15 09:30:42,178200,181400,-0.017957351290684626,0.017957351290684542,103.59,0.29576723869444715,0.0005512679162072767,True,True,0.15384615384615385,ALLOW_ENTRY,volume_ratio_lt_1p2,
breakout_small,000270,기아,000270,1d81c23ba4364f7192f78351e9cd71b3,단테떡상이_수정,trading,1d81c23ba4364f7192f78351e9cd71b3,candidate_id,False,False,2026-05-15 09:30:42,2026-05-15 09:30:42,178200,181400,-0.017957351290684626,0.017957351290684542,103.59,0.29576723869444715,0.0005512679162072767,True,True,0.15384615384615385,ALLOW_ENTRY,volume_ratio_lt_1p2,
pullback_0p5,000370,한화손해보험,000370,7563c52966b544739809325b8019fa93,단테떡상이_수정,trading,7563c52966b544739809325b8019fa93,candidate_id,True,False,2026-05-15 09:30:25,2026-05-15 09:30:25,7220,7130,0.012465373961218837,-0.012465373961218829,173.56,0.1749637038231973,0.002805049088359046,True,True,0.208955223880597,ALLOW_ENTRY,,
pullback_0p8,000370,한화손해보험,000370,7563c52966b544739809325b8019fa93,단테떡상이_수정,trading,7563c52966b544739809325b8019fa93,candidate_id,True,False,2026-05-15 09:30:25,2026-05-15 09:30:25,7220,7130,0.012465373961218837,-0.012465373961218829,173.56,0.1749637038231973,0.002805049088359046,True,True,0.208955223880597,ALLOW_ENTRY,,
